attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Mega Kick;Power Press,Standard,111/192,Pokémon,80;120+,Fighting,Basic,,Rebel Clash,140,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Stonjourner,Rare Holo,,4,Unlimited;Reverse Holo;Non-holo,Grass×2
Giga Impact,Standard,110/192,Pokémon V,210,Fighting,Basic,,Rebel Clash,160,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Falinks V,Rare Holo V,,2,Unlimited,Psychic×2
Call for Family;Team Attack,Standard,109/192,Pokémon,0;30×,Fighting,Basic,,Rebel Clash,90,Misa Tsutsui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Falinks,Uncommon,,1,Unlimited;Reverse Holo,Psychic×2
Sand Eater;Sand Breath,Standard,108/192,Pokémon V,30;220,Fighting,Basic,,Rebel Clash,220,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sandaconda V,Rare Holo V,,3,Unlimited,Grass×2
Flaming Avalanche,Standard,107/192,Pokémon,130,Fighting,Stage 2,Carkol,Rebel Clash,160,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Coalossal,Rare Holo,,4,Unlimited;Reverse Holo;Pokémon League,Grass×2
Ram;Heat Crash,Standard,106/192,Pokémon,30;60,Fighting,Stage 1,Rolycoly,Rebel Clash,100,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Carkol,Uncommon,,3,Unlimited;Reverse Holo,Grass×2
Ram,Standard,105/192,Pokémon,10,Fighting,Basic,,Rebel Clash,70,Misa Tsutsui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rolycoly,Common,,2,Unlimited;Reverse Holo,Grass×2
Rock Hurl;Hand Press,Standard,104/192,Pokémon,50;80+,Fighting,Stage 1,Binacle,Rebel Clash,120,Anesaki Dynamic,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Barbaracle,Rare,,3,Unlimited;Reverse Holo,Grass×2
Dual Chop,Standard,103/192,Pokémon,50×,Fighting,Basic,,Rebel Clash,80,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Binacle,Common,,2,Unlimited;Reverse Holo,Grass×2
Spreading Spite;Mad Hammer,Standard,102/192,Galarian Pokémon,0;120,Fighting,Stage 1,Galarian Yamask,Rebel Clash,100,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Runerigus,Rare,,2,Unlimited;Reverse Holo,Grass×2
Summon;Bite,Standard,090/192,Pokémon,0;40,Psychic,Stage 1,Dreepy,Rebel Clash,90,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Drakloak,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Quick Attack,Standard,089/192,Pokémon,10+,Psychic,Basic,,Rebel Clash,60,Akira Komayama,,Dreepy,Common,Fighting-30,1,,Darkness×2
Replenish Time;Psybeam,Standard,088/192,Pokémon,0;30,Psychic,Basic,,Rebel Clash,100,Mizue,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Indeedee,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Decorate;Draining Kiss,Standard,087/192,Pokémon,0;50,Psychic,Stage 1,Milcery,Rebel Clash,110,Mizue,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alcremie,Rare,,1,Unlimited;Reverse Holo,Metal×2
Aromatherapy;Tackle,Standard,086/192,Pokémon,0;20,Psychic,Basic,,Rebel Clash,50,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Milcery,Common,,1,Unlimited;Reverse Holo,Metal×2
Dripping Grudge,Standard,085/192,Pokémon,0,Psychic,Stage 2,Hattrem,Rebel Clash,150,Kagemaru Himeno,,Hatterene,Rare Holo,Fighting-30,2,,Darkness×2
Calm Mind;Brutal Swing,Standard,084/192,Pokémon,0;30+,Psychic,Stage 1,Hatenna,Rebel Clash,80,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hattrem,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Find a Friend;Psyshot,Standard,083/192,Pokémon,0;20,Psychic,Basic,,Rebel Clash,60,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hatenna,Common,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Sand Sink;Super Absorption,Standard,082/192,Pokémon,0;90,Psychic,Stage 1,Sandygast,Rebel Clash,140,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Palossand,Uncommon,Fighting-30,4,Unlimited;Reverse Holo,Darkness×2
Sneaky Placement,Standard,081/192,Pokémon,0,Psychic,Basic,,Rebel Clash,80,Yuka Morii,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sandygast,Common,Fighting-30,3,Unlimited;Reverse Holo,Darkness×2
Psychic Assault,Standard,080/192,Pokémon,30+,Psychic,Basic,,Rebel Clash,110,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sigilyph,Rare,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Corner,Standard,079/192,Galarian Pokémon,60,Psychic,Stage 1,Galarian Corsola,Rebel Clash,100,Kagemaru Himeno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Cursola,Rare Holo,Fighting-30,2,Unlimited;Reverse Holo,Darkness×2
Cursed Drop,Standard,078/192,Galarian Pokémon,0,Psychic,Basic,,Rebel Clash,80,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Corsola,Common,Fighting-30,2,Unlimited;Reverse Holo,Darkness×2
Me First,Standard,076/192,Pokémon,0,Psychic,Basic,,Rebel Clash,60,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Natu,Common,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Moon Kick,Standard,075/192,Pokémon,60,Psychic,Stage 1,Clefairy,Rebel Clash,110,miki kudo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Clefable,Rare Holo,,2,Unlimited;Reverse Holo,Metal×2
Shining Fingers;Magical Shot,Standard,074/192,Pokémon,0;10,Psychic,Basic,,Rebel Clash,60,sowsow,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Clefairy,Common,,1,Unlimited;Reverse Holo,Metal×2
Torment;Spark,Standard,073/192,Pokémon,20;50,Lightning,Basic,,Rebel Clash,80,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Morpeko,Uncommon,,1,Unlimited;Reverse Holo,Fighting×2
Sparking Strike,Standard,072/192,Pokémon V,120,Lightning,Basic,,Rebel Clash,170,PLANETA Igarashi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pincurchin V,Rare Holo V,,2,Unlimited,Fighting×2
G-Max Riot,Standard,071/192,"Full Art Pokémon,Gigantamax Pokémon",160+,Lightning,VMAX,Toxtricity V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxtricity VMAX,Rare Holo VMAX,,2,Unlimited,Fighting×2
Poison Jab;Electric Riot,Standard,070/192,Pokémon V,20;90+,Lightning,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxtricity V,Rare Holo V,,2,"Unlimited;Rebel Clash Stamp, Jumbo Size",Fighting×2
Poison Shout;Hammer In,Standard,069/192,Pokémon,0;90,Lightning,Stage 1,Toxel,Rebel Clash,130,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxtricity,Rare,,2,Unlimited;Reverse Holo,Fighting×2
Tight Jaw,Standard,068/192,Pokémon,10,Lightning,Basic,,Rebel Clash,70,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxel,Common,,2,Unlimited;Reverse Holo,Fighting×2
Electrify;Bolt Storm,Standard,067/192,Pokémon V,0;10+,Lightning,Basic,,Rebel Clash,200,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Boltund V,Rare Holo V,,2,Unlimited,Fighting×2
Powerful Storm;Thunder Jolt Beam,Standard,066/192,Pokémon,60+;170,Lightning,Stage 2,Charjabug,Rebel Clash,150,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Vikavolt,Rare Holo,,2,Unlimited;Reverse Holo,Fighting×2
Charge;Lightning Ball,Standard,065/192,Pokémon,0;70,Lightning,Stage 1,Grubbin,Rebel Clash,90,Masakazu Fukuda,,Charjabug,Uncommon,,2,,Fighting×2
Eerie Impulse;Thunder,Standard,064/192,Pokémon,0;120,Lightning,Stage 1,Helioptile,Rebel Clash,110,SATOSHI NAKAI,,Heliolisk,Uncommon,,1,,Fighting×2
Thunder Jolt,Standard,063/192,Pokémon,30,Lightning,Basic,,Rebel Clash,70,0313,,Helioptile,Common,,1,,Fighting×2
Raid;Head Bolt,Standard,062/192,Pokémon,60+;120,Lightning,Stage 2,Luxio,Rebel Clash,160,Hasuno,,Luxray,Rare Holo,,1,,Fighting×2
Zap Kick,Standard,061/192,Pokémon,30,Lightning,Stage 1,Shinx,Rebel Clash,90,ryoma uratsuka,,Luxio,Uncommon,,1,,Fighting×2
Under Pressure,Standard,060/192,Pokémon,10+,Lightning,Basic,,Rebel Clash,60,Uta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shinx,Common,,1,Unlimited;Reverse Holo,Fighting×2
Thunder Shock;Electrified Bolt,Standard,059/192,Pokémon,50;90+,Lightning,Stage 1,Electabuzz,Rebel Clash,140,tetsuya koizumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Electivire,Rare,,3,Unlimited;Reverse Holo,Fighting×2
Knuckle Punch;Electroslug,Standard,058/192,Pokémon,10;70,Lightning,Basic,,Rebel Clash,90,Midori Harada,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Electabuzz,Common,,2,Unlimited;Reverse Holo,Fighting×2
Orb Collector;Rolling Attack,Standard,057/192,Pokémon,0;70,Lightning,Stage 1,Voltorb,Rebel Clash,90,otumami,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Electrode,Uncommon,,0,Unlimited;Reverse Holo,Fighting×2
Continuous Tumble,Standard,056/192,Pokémon,20×,Lightning,Basic,,Rebel Clash,50,Hasegawa Saki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Voltorb,Common,,1,Unlimited;Reverse Holo,Fighting×2
Blizzard,Standard,055/192,Pokémon V,120,Water,Basic,,Rebel Clash,210,PLANETA Tsuji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Eiscue V,Rare Holo V,,2,Unlimited,Metal×2
Blizzard,Standard,054/192,Pokémon,70,Water,Basic,,Rebel Clash,120,Kagemaru Himeno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Eiscue,Rare Holo,,2,Unlimited;Reverse Holo,Metal×2
Split Spiral Punch;Resonance,Standard,046/192,Pokémon,30;120+,Water,Stage 2,Palpitoad,Rebel Clash,170,SATOSHI NAKAI,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Seismitoad,Rare,,3,Unlimited;Reverse Holo,Lightning×2
Twirling Sign,Standard,045/192,Pokémon,30,Water,Stage 1,Tympole,Rebel Clash,90,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Palpitoad,Uncommon,,2,Unlimited;Reverse Holo,Lightning×2
Snipe Shot;Aqua Report,Standard,049/192,Pokémon V,0;130,Water,Basic,,Rebel Clash,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Inteleon V,Rare Holo V,,2,Unlimited,Lightning×2
Blizzard;Crushing Headbutt,Standard,048/192,Galarian Pokémon,80;170,Water,Stage 1,Galarian Darumaka,Rebel Clash,140,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Darmanitan,Rare,,3,Unlimited;Reverse Holo,Metal×2
Hydro Snipe;Max Bullet,Standard,050/192,"Dynamax Pokémon,Full Art Pokémon",60;160,Water,VMAX,Inteleon V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Inteleon VMAX,Rare Holo VMAX,,2,Unlimited,Lightning×2
Wing Attack;Power Cyclone,Standard,042/192,Pokémon,50;110,Water,Stage 1,Wingull,Rebel Clash,120,Eri Yamaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pelipper,Uncommon,Fighting-30,2,Unlimited;Reverse Holo,Lightning×2
Ice Punch,Standard,047/192,Galarian Pokémon,30,Water,Basic,,Rebel Clash,80,Akira Komayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Darumaka,Common,,2,Unlimited;Reverse Holo,Metal×2
Dive;Hydro Pump,Standard,051/192,Pokémon,20;50+,Water,Basic,,Rebel Clash,110,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cramorant,Rare,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Aqua Impact;Hypno Splash,Standard,043/192,Pokémon V,10+;150,Water,Basic,,Rebel Clash,210,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Milotic V,Rare Holo V,,2,Unlimited,Lightning×2
Spiral Attack,Standard,044/192,Pokémon,0,Water,Basic,,Rebel Clash,60,Aya Kusube,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tympole,Common,,1,Unlimited;Reverse Holo,Lightning×2
Collect;Wave Splash,Standard,041/192,Pokémon,0;20,Water,Basic,,Rebel Clash,70,0313,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Wingull,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Peck;Spiral Jet,Standard,053/192,Pokémon,30;130,Water,Stage 1,Arrokuda,Rebel Clash,120,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Barraskewda,Rare,,1,Unlimited;Reverse Holo,Lightning×2
Leap Out,Standard,039/192,Pokémon,0,Water,Basic,,Rebel Clash,30,kanahei,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Magikarp,Common,,1,Unlimited;Reverse Holo,Lightning×2
Wrack Down;Big Storm,Standard,040/192,Pokémon,90;200,Water,Stage 1,Magikarp,Rebel Clash,180,hatachu,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gyarados,Rare Holo,,4,Unlimited;Reverse Holo,Lightning×2
Triple Spin,Standard,038/192,Galarian Pokémon,50×,Water,Stage 1,Galarian Mr. Mime,Rebel Clash,110,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Mr. Rime,Rare,,1,Unlimited;Reverse Holo,Metal×2
Icy Wind;Triple Spin,Standard,037/192,Galarian Pokémon,10;20×,Water,Basic,,Rebel Clash,80,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Mr. Mime,Common,,1,Unlimited;Reverse Holo,Metal×2
Counter;Max Pyro Ball,Standard,036/192,"Dynamax Pokémon,Full Art Pokémon",30+;170,Fire,VMAX,Cinderace V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cinderace VMAX,Rare Holo VMAX,,2,Unlimited,Water×2
Crimson Legs,Standard,035/192,Pokémon V,140,Fire,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cinderace V,Rare Holo V,,2,Unlimited,Water×2
Lick;Flamethrower,Standard,034/192,Pokémon,20;120,Fire,Basic,,Rebel Clash,120,Satoshi Shirai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Heatmor,Uncommon,,2,Unlimited;Reverse Holo,Water×2
Mirage Flare,Standard,033/192,Pokémon,110,Fire,Stage 2,Lampent,Rebel Clash,140,Taira Akitsu,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Chandelure,Rare Holo,,2,Unlimited;Reverse Holo,Water×2
Reignite,Standard,032/192,Pokémon,20,Fire,Stage 1,Litwick,Rebel Clash,80,Kyoko Umemoto,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lampent,Uncommon,,1,Unlimited;Reverse Holo,Water×2
Scorch,Standard,031/192,Pokémon,0,Fire,Basic,,Rebel Clash,60,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Litwick,Common,,1,Unlimited;Reverse Holo,Water×2
Punch;Heat Breath,Standard,029/192,Pokémon,10;20+,Fire,Basic,,Rebel Clash,90,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Magmar,Common,,2,Unlimited;Reverse Holo,Water×2
Burst Punch;Ground Burn,Standard,030/192,Pokémon,30;80+,Fire,Stage 1,Magmar,Rebel Clash,140,Kazuma Koda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Magmortar,Rare,,3,Unlimited;Reverse Holo,Water×2
Fire Mane,Standard,028/192,Pokémon,130,Fire,Stage 1,Growlithe,Rebel Clash,130,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Arcanine,Rare,,2,Unlimited;Reverse Holo,Water×2
,Standard,202/192,"Full Art Trainer,Rainbow Trainer",,,,,Rebel Clash,,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Oleana,Rare Rainbow,,,Unlimited,
Gentle Slap,Standard,067/202,Pokémon,30,Lightning,Basic,,Sword & Shield,70,Sumiyoshi Kizuki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Chinchou,Common,,1,Unlimited;Reverse Holo,Fighting×2
Pain-Full Punch;Mach Bolt,Standard,066/202,Pokémon,40;120,Lightning,Stage 1,Pikachu,Sword & Shield,130,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Raichu,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Vise Bite;Jaw Lock,Standard,061/202,Pokémon,60+;130,Water,Stage 1,Chewtle,Sword & Shield,130,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Drednaw,Rare,,3,Unlimited;Reverse Holo,Lightning×2
Super Slice,Standard,043/202,Pokémon,120,Water,Basic,,Sword & Shield,80,miki kudo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Krabby,Common,,2,Unlimited;Reverse Holo,Lightning×2
