name,expansion
Shiftry,Steam Siege
Shiftry,Next Destinies
Cresselia,Ultra Prism
Beartic,Next Destinies
Slakoth,Unified Minds
Volcarona,Shining Legends
Umbreon ex,EX Unseen Forces
Umbreon,XY Black Star Promos
Aromatisse,XY
Armaldo,Legends Awakened
Shiftry,BREAKpoint
Shieldon,Steam Siege
Bastiodon GL,Rising Rivals
Bastiodon,POP Series 6
Bastiodon,Mysterious Treasures
Barraskewda,Vivid Voltage
Butterfree,HeartGold & SoulSilver
Butterfree,Great Encounters
Dark Forretress,Neo Destiny
Skuntank,Stormfront
Charmeleon,Vivid Voltage
Tangrowth,Great Encounters
Tangrowth,Legendary Treasures
Tangrowth,Stormfront
Wigglytuff,Crimson Invasion
Tapu Bulu,SM Black Star Promos
Butterfree,Burning Shadows
Banette,Roaring Skies
Crawdaunt,Primal Clash
Tauros,Battle Academy (Pikachu)
Tauros,Darkness Ablaze
Cherrim,Pokémon Rumble
Tauros,Unified Minds
Tauros-GX,Sun & Moon
Vivillon,BREAKthrough
Aggron-EX,Primal Clash
Voltorb,Roaring Skies
Umbreon,McDonald's Collection 2013
Team Magma's Lairon,Double Crisis
Slowbro,Great Encounters
Shelgon,Roaring Skies
Aggron,Triumphant
Aggron,Mysterious Treasures
Watchog,BW Trainer Kit (Zoroark)
Cinccino,Fates Collide
Yveltal,BREAKthrough
Yveltal,Team Up
Bronzong,Fates Collide
Alomomola,Black & White
Alomomola,Guardians Rising
Bronzong,Arceus
Watchog,Black & White
Team Magma's Rhydon,EX Team Magma vs Team Aqua
Alomomola,McDonald's Collection 2011
Team Magma's Rhyhorn,EX Team Magma vs Team Aqua
Shaymin-EX,XY Black Star Promos
Clawitzer,Steam Siege
Zapdos,Aquapolis
Wartortle,Unbroken Bonds
Bronzong,Majestic Dawn
Armaldo,EX Sandstorm
Wartortle,Boundaries Crossed
Armaldo,EX Power Keepers
Archeops,Noble Victories
Archeops,Dark Explorers
Team Aqua's Muk,Double Crisis
Umbreon,Lost Thunder
Simisage,Emerging Powers
Team Aqua's Sharpedo,EX Team Magma vs Team Aqua
Beedrill,Crimson Invasion
Bruxish,Burning Shadows
Wailord,Great Encounters
Arcanine,Rising Rivals
Beedrill,Plasma Freeze
Bronzong,XY Black Star Promos
Bronzong,Ultra Prism
Arcanine,EX Sandstorm
Bronzong,Phantom Forces
Team Magma's Camerupt,Double Crisis
Yanma,Vivid Voltage
Yanmega,Legends Awakened
Vileplume,Legends Awakened
Xatu,Legendary Treasures
Watchog,Guardians Rising
Vaporeon,Dark Explorers
Venomoth,EX FireRed & LeafGreen
Audino-EX,Fates Collide
Celebi-EX,Boundaries Crossed
Vaporeon ex,EX Delta Species
Vaporeon,SWSH Black Star Promos
Vaporeon,McDonald's Collection 2013
Vaporeon,Majestic Dawn
Skarmory ex,EX Power Keepers
Cufant,Darkness Ablaze
Alolan Marowak,Unified Minds
Vileplume,Burning Shadows
Vaporeon,Cosmic Eclipse
Vaporeon,BW Black Star Promos
Vanilluxe,Plasma Freeze
Vanilluxe,Noble Victories
Vanilluxe,Next Destinies
Alolan Geodude,Team Up
Crobat ex,EX Deoxys
Wormadam,Fates Collide
Starmie,XY
Skarmory,Sun & Moon
Chansey,Dark Explorers
Wobbuffet,Boundaries Crossed
Charjabug,Unbroken Bonds
Stunfisk,Noble Victories
Simipour,Emerging Powers
Stufful,Guardians Rising
Venusaur,Secret Wonders
Vespiquen,Undaunted
Venusaur,Legendary Collection
Venusaur,Base Set 2
Venusaur,Base Set
Stoutland,Dark Explorers
Steenee,Unified Minds
Alolan Raticate,Sun & Moon
Croconaw,Shining Legends
Charizard,EX Dragon
Alolan Raticate,Burning Shadows
Audino,Dragons Exalted
Suicune,Secret Wonders
Skarmory,McDonald's Collection 2018 (French)
Vibrava,EX Power Keepers
Vibrava,Primal Clash
Articuno,Majestic Dawn
Wormadam Plant Cloak,Secret Wonders
Wormadam Sandy Cloak,Arceus
Staravia,SM Trainer Kit (Alolan Sandslash)
Carbink,Roaring Skies
Carbink,Lost Thunder
Carbink,Fates Collide
Camerupt ex,EX Emerald
Camerupt G,Supreme Victors
Camerupt,EX Holon Phantoms
Alolan Dugtrio,Lost Thunder
Alcremie VMAX,Champion's Path
Alcremie,Vivid Voltage
Staravia,Crimson Invasion
Staraptor,Stormfront
Staraptor,Plasma Freeze
Swoobat,BREAKthrough
Cacturne,Plasma Freeze
Sylveon,XY Black Star Promos
Sylveon,XY Trainer Kit (Sylveon)
Buzzwole,SM Black Star Promos
Buzzwole,Cosmic Eclipse
Wigglytuff,Fates Collide
Carkol,Rebel Clash
Wigglytuff,Next Destinies
Crobat BREAK,XY Black Star Promos
Victreebel,Legends Awakened
Uxie LV.X,Legends Awakened
Azumarill,HeartGold & SoulSilver
Azumarill,Lost Thunder
Ursaring,Unleashed
Swalot,Legends Awakened
Crobat,Unbroken Bonds
Swampert,EX Crystal Guardians
Alolan Exeggutor,Team Up
Crobat,Sun & Moon
Swampert,EX Emerald
Victreebel,Furious Fists
Swampert,Supreme Victors
Swampert ex,EX Crystal Guardians
Swanna,Boundaries Crossed
Swanna,Dark Explorers
Ursaring,Mysterious Treasures
Swellow,Roaring Skies
Charmeleon,EX Crystal Guardians
Swellow,XY
Clawitzer,XY Black Star Promos
Alolan Sandslash,Cosmic Eclipse
Bibarel,Unified Minds
Tornadus,Furious Fists
Snorlax VMAX,Sword & Shield
Slowpoke,McDonald's Collection 2018
Bouffalant,Dragons Exalted
Slowpoke,McDonald's Collection 2018 (French)
Thwackey,Sword & Shield
Boldore,Phantom Forces
Boldore,Dragons Exalted
Tirtouga,Noble Victories
Amaura,Forbidden Light
Bisharp,Sword & Shield
Altaria ex δ,EX Dragon Frontiers
Bisharp,Steam Siege
Clefairy,Cosmic Eclipse
Darmanitan,Boundaries Crossed
Ambipom,Cosmic Eclipse
Altaria,Champion's Path
Tentacruel,Unbroken Bonds
Tornadus-EX,Plasma Freeze
Abomasnow,Stormfront
Ambipom,Triumphant
Tentacruel,Legends Awakened
Ambipom G,Rising Rivals
Zweilous,Crimson Invasion
Snorlax,Unbroken Bonds
Sharpedo,Rising Rivals
Sharpedo,Secret Wonders
Sharpedo,Sun & Moon
Clefable,Rebel Clash
Sharpedo,Unbroken Bonds
Sharpedo ex,EX Deoxys
Torracat,Team Up
Blissey ex,EX Unseen Forces
Tirtouga,Unified Minds
Torterra,Diamond & Pearl
Slugma,Lost Thunder
Accelgor,Noble Victories
Absol,Plasma Freeze
Serperior,Black & White
Serperior,BW Black Star Promos
Combusken,Platinum
Absol,XY Black Star Promos
Bibarel,XY
Weezing,Expedition Base Set
Bidoof,Kalos Starter Set
Conkeldurr,XY
Bidoof,Unified Minds
Slurpuff,XY Black Star Promos
Slurpuff,Phantom Forces
Whiscash E4,Rising Rivals
Serperior,Dragons Exalted
Trevenant,XY
Whiscash,Mysterious Treasures
Bibarel,Stormfront
Bibarel,Dragons Exalted
Bibarel,Diamond & Pearl
Blastoise-GX,Unbroken Bonds
Bewear,Guardians Rising
Bewear,Crimson Invasion
Blastoise-GX,SM Black Star Promos
Blastoise δ,EX Crystal Guardians
Darkrai,Darkness Ablaze
Altaria,Great Encounters
Blissey,Phantom Forces
Tropius,Rising Rivals
Torkoal,Dark Explorers
Weezing,Fossil
Clefable,Guardians Rising
Zoroark,BW Black Star Promos
Snorlax,Rising Rivals
Zygarde,Dragon Majesty
Brock's Primeape,Gym Challenge
Breloom,Secret Wonders
Watchog,Plasma Storm
Snorlax,Boundaries Crossed
Abomasnow,Mysterious Treasures
Whirlipede,Burning Shadows
Typhlosion,Mysterious Treasures
Zygarde,Forbidden Light
Zebstrika,Lost Thunder
Cobalion,BW Black Star Promos
Brock's Dugtrio,Gym Challenge
Typhlosion δ,EX Dragon Frontiers
Corsola,Sun & Moon
Solrock,XY
Whiscash,EX Dragon
Combusken,Dragon Majesty
Zapdos ex,Nintendo Black Star Promos
Slowking,Lost Thunder
Whiscash,EX Holon Phantoms
Slowking,Undaunted
Toxicroak,Majestic Dawn
Toxicroak,Legendary Treasures
Tranquill,Boundaries Crossed
Claydol,Dragons Exalted
Weavile,Flashfire
Blastoise,Boundaries Crossed
Tranquill,Rebel Clash
Ampharos,BW Black Star Promos
Blastoise,Plasma Storm
Braviary,Plasma Storm
Blastoise,Plasma Blast
Tyranitar,Aquapolis
Dark Steelix,EX Team Rocket Returns
Bellossom,Ancient Origins
Blastoise,POP Series 3
Toxicroak,Boundaries Crossed
Claydol ex,EX Power Keepers
Aerodactyl ex,EX Sandstorm
Slowpoke,Guardians Rising
Purugly,Diamond & Pearl
Houndoom,Lost Thunder
Feraligatr,EX Unseen Forces
Dustox,EX Ruby & Sapphire
Victreebel,EX FireRed & LeafGreen
Flaaffy,EX Unseen Forces
Charmeleon,EX Power Keepers
Cloyster,EX FireRed & LeafGreen
Poipole,Unified Minds
Charmeleon,Base Set
Honedge,Forbidden Light
Pikachu Libre,XY Trainer Kit (Pikachu Libre)
Articuno,Fossil
Articuno ex,Nintendo Black Star Promos
Snover,Rebel Clash
Feraligatr,Neo Genesis
Charmeleon,Base Set 2
Charizard G,Supreme Victors
Ivysaur,EX FireRed & LeafGreen
Lt. Surge's Magneton,Gym Heroes
Dustox,Dragons Exalted
Charmeleon,Arceus
Vespiquen,Stormfront
Cobalion-GX,Team Up
Ivysaur,Supreme Victors
Ivysaur,Dark Explorers
Houndoom,Neo Discovery
Charmeleon,Boundaries Crossed
Pupitar,Unleashed
Dustox,Diamond & Pearl
Articuno ex,EX FireRed & LeafGreen
Jangmo-o,Cosmic Eclipse
Victini-EX,Plasma Storm
Flaaffy,Expedition Base Set
Houndoom,EX Dragon
Victini,XY Black Star Promos
Magmar,Hidden Fates
Loudred,Vivid Voltage
Articuno,Skyridge
Magmar,Mysterious Treasures
Flareon δ,EX Delta Species
Flareon ☆,EX Power Keepers
Quagsire,EX Unseen Forces
Pinsir,Base Set 2
Clobbopus,Sword & Shield
Flareon-EX,Generations
Snorlax,Fates Collide
Snorlax,XY Black Star Promos
Loudred,Supreme Victors
Quagsire,Aquapolis
Articuno,Supreme Victors
Loudred,EX Emerald
Pinsir,Jungle
Victini,Guardians Rising
Pinsir,Supreme Victors
Pinsir,Sun & Moon
Charjabug,Sun & Moon
Vibrava,Dragon Majesty
Snorlax,BREAKthrough
Flaaffy,Steam Siege
Magnemite,Neo Discovery
Vibrava,Boundaries Crossed
Quagsire δ,EX Dragon Frontiers
Magnemite,Evolutions
Ivysaur,Shining Legends
Articuno,Legendary Collection
Starmie,EX Hidden Legends
Loudred,Plasma Storm
Houndoom,Call of Legends
Victini-EX,Legendary Treasures
Starmie δ,EX Delta Species
Steelix,Aquapolis
Purugly G,Platinum
Ivysaur,POP Series 2
Starmie,Next Destinies
Starmie,Pokémon Rumble
Magmar,Base Set
Magmar,Base Set 2
Magmar,Dragons Exalted
Pincurchin,Darkness Ablaze
Houndoom-EX,BREAKthrough
Primeape,Great Encounters
Magcargo-GX,Lost Thunder
Volcarona,Plasma Blast
Ampharos,EX Unseen Forces
Electivire,Secret Wonders
Walrein,EX Hidden Legends
Empoleon,Majestic Dawn
Wailord,Triumphant
Clefable,BREAKpoint
Porygon2,HGSS Black Star Promos
Wailmer,Triumphant
Wailmer,Supreme Victors
Weavile,Ultra Prism
Porygon-Z,Plasma Blast
Porygon-Z,BW Black Star Promos
Wailmer,Celestial Storm
Ampharos,Aquapolis
Entei,POP Series 2
Entei,Wizards Black Star Promos
Clefable,Plasma Storm
Hypno,BREAKpoint
Erika's Victreebel,Gym Heroes
Ariados,HeartGold & SoulSilver
Voltorb,Secret Wonders
Chewtle,Sword & Shield
Lugia,HGSS Black Star Promos
Electabuzz,Boundaries Crossed
Ponyta,Arceus
Polteageist,Sword & Shield
Ambipom,Steam Siege
Electivire LV.X,Mysterious Treasures
Arbok δ,EX Dragon Frontiers
Arbok,XY Trainer Kit (Noivern)
Arbok,Great Encounters
Primeape,Legendary Collection
Clawitzer,Furious Fists
Lurantis,Unified Minds
Electrode,Base Set
Prinplup,Majestic Dawn
Electrode,Base Set 2
Electrode,EX Emerald
Cinccino,Next Destinies
Prinplup,Platinum
Probopass,Arceus
Cinccino,Legendary Treasures
Infernape,Forbidden Light
Probopass,POP Series 8
Electrike,Darkness Ablaze
Electrode,Team Up
Arbok,Hidden Fates
Electrode-GX,Celestial Storm
Claydol,EX Hidden Legends
Electrode-GX,Hidden Fates
Probopass,Primal Clash
Wartortle,Unleashed
Lumineon,Unified Minds
Arbok,Unbroken Bonds
Wartortle,Secret Wonders
Wartortle,EX Crystal Guardians
Arbok,XY
Lugia,Aquapolis
Amaura,Furious Fists
Pupitar,Mysterious Treasures
Eldegoss V,Rebel Clash
Machop,Guardians Rising
Machop,McDonald's Collection 2018
Exeggutor,Legends Awakened
Vileplume,Boundaries Crossed
Eelektross,Plasma Blast
Primeape,Jungle
Charmeleon,Secret Wonders
Charmeleon,Legendary Treasures
Charmeleon,Legendary Collection
Charmeleon,Expedition Base Set
Machop,Triumphant
Whimsicott,Sword & Shield
Snow-cloud Castform,EX Hidden Legends
Exploud,Plasma Storm
Magcargo,Celestial Storm
Eelektrik,Primal Clash
Eelektrik,Noble Victories
Farfetch'd,Evolutions
Eelektrik,Burning Shadows
Altaria,EX Deoxys
Whirlipede,Black & White
Vigoroth,Platinum
Magcargo,EX Deoxys
Whirlipede,Boundaries Crossed
Fearow,EX FireRed & LeafGreen
Fearow,Expedition Base Set
Staravia,Majestic Dawn
Altaria,EX Power Keepers
Lucario,Legendary Treasures
Vileplume,Undaunted
Virizion-EX,Plasma Blast
Eldegoss V,Champion's Path
Volcanion,Unbroken Bonds
Volcanion,SM Black Star Promos
Machamp,Expedition Base Set
Poliwrath,EX FireRed & LeafGreen
Machamp,Wizards Black Star Promos
Poliwhirl,Furious Fists
Poliwhirl,Evolutions
Vivillon,Forbidden Light
Ludicolo,EX Sandstorm
Infernape,Ultra Prism
Virizion-GX,Lost Thunder
Infernape E4,Rising Rivals
Charmeleon,Stormfront
Cherrim,Stormfront
Machoke,Champion's Path
Snubbull,Fates Collide
Machoke,Expedition Base Set
Virizion,BW Black Star Promos
Hydreigon,Steam Siege
Charmeleon δ,POP Series 5
Charmeleon δ,EX Crystal Guardians
Weezing,EX Delta Species
Lucario,Unleashed
Vileplume ex,EX Hidden Legends
Lucario,Next Destinies
Machoke,EX Power Keepers
Swalot,EX Hidden Legends
Pikachu,Wizards Black Star Promos
Typhlosion,EX Unseen Forces
Beldum,Celestial Storm
Type: Null,Cosmic Eclipse
Hariyama,EX Delta Species
Brock's Golem,Gym Heroes
Brock's Graveler,Gym Challenge
Hariyama,Great Encounters
Gliscor,Undaunted
Typhlosion,Expedition Base Set
Nidoqueen,Jungle
Nidoking,Aquapolis
Metagross-EX,XY Black Star Promos
Metagross ☆,EX Delta Species
Typhlosion,Nintendo Black Star Promos
Metagross ex,EX Hidden Legends
Tyranitar,Box Toppers (e-Card Series)
Tyranitar,Expedition Base Set
Gyarados ☆ δ,EX Holon Phantoms
Brionne,Sun & Moon
Beldum,Undaunted
Gyarados,Skyridge
Gyarados,EX Deoxys
Metang δ,EX Delta Species
Bellossom,EX Unseen Forces
Metang,Unleashed
Metang,Undaunted
Metang,Plasma Freeze
Braviary,Dragons Exalted
Metang,Legends Awakened
Musharna,Unified Minds
Bellossom,EX Hidden Legends
Metang,Ancient Origins
Bellossom,Boundaries Crossed
Turtwig,Ultra Prism
Gyarados,Legendary Collection
Breloom,EX Sandstorm
Nidoqueen,Base Set 2
Nidoqueen,Legendary Collection
Pikachu,Unified Minds
Team Magma's Camerupt,EX Team Magma vs Team Aqua
Nidorino,Base Set 2
Nidorino,Legendary Collection
Nidorino,Plasma Freeze
Glalie,Arceus
Team Magma's Groudon,EX Team Magma vs Team Aqua
Bronzong,Mysterious Treasures
Team Magma's Claydol,EX Team Magma vs Team Aqua
Glaceon,Rising Rivals
Tyranitar,Neo Discovery
Team Magma's Aggron,EX Team Magma vs Team Aqua
Beedrill,Primal Clash
Ninetales,EX Hidden Legends
Ninetales,EX Power Keepers
Beedrill,Great Encounters
Beedrill,EX FireRed & LeafGreen
Ninetales,Legendary Treasures
Nidorino,Base Set
Nidorina,Triumphant
Haunter,Expedition Base Set
Team Magma's Lairon,EX Team Magma vs Team Aqua
Metagross,POP Series 1
Nidoqueen,Rising Rivals
Metagross,Legends Awakened
Nidoqueen,Triumphant
Beheeyem,BREAKthrough
Tyranitar δ,EX Delta Species
Beedrill δ,EX Delta Species
Tyrunt,Furious Fists
Glalie-EX,BREAKthrough
Glalie,Mysterious Treasures
Team Magma's Mightyena,EX Team Magma vs Team Aqua
Glalie,EX Hidden Legends
Haunter,Base Set
Haunter,Base Set 2
Beedrill,Unleashed
Tentacruel,Triumphant
Turtonator,Dragon Majesty
Golem,Skyridge
Blaziken,EX Emerald
Milotic,Great Encounters
Blacephalon,Unbroken Bonds
Graveler,Neo Revelation
Milotic,EX Emerald
Torkoal,Sun & Moon
Torkoal,McDonald's Collection 2018 (French)
Mightyena ex,EX Holon Phantoms
Blaziken,EX Power Keepers
Gyarados,Base Set 2
Blaziken,Furious Fists
Binacle,Rebel Clash
Blaziken,POP Series 1
Mightyena,Team Up
Mightyena,Platinum
Monferno,Plasma Storm
Grapploct,Vivid Voltage
Blacephalon-GX,Lost Thunder
Blastoise,Secret Wonders
Greninja,XY
Tranquill,Emerging Powers
Toxicroak,Ultra Prism
Toxicroak,Steam Siege
Groudon ex,EX Hidden Legends
Toxicroak,Forbidden Light
Toxapex,Sun & Moon
Grotle,Unleashed
Toxapex,Lost Thunder
Blaine's Ninetales,Gym Challenge
Grotle,Diamond & Pearl
Grookey on the Ball,Pokémon Futsal
Blaine's Dodrio,Gym Challenge
Miltank,Kalos Starter Set
Growlithe,Rising Rivals
Grimer,Darkness Ablaze
Blastoise,EX Crystal Guardians
Granbull,XY Trainer Kit (Sylveon)
Granbull,Sun & Moon
Granbull,Skyridge
Grumpig,EX Dragon
Grumpig,Fates Collide
Togedemaru,SM Black Star Promos
Mew ex,EX Holon Phantoms
Muk,EX Legend Maker
Mew,Hidden Fates
Muk,Platinum
Muk,Secret Wonders
Muk,Undaunted
Mew,EX Legend Maker
Mew,Battle Academy (Mewtwo)
Boldore,Sun & Moon
Golett,Plasma Blast
Golett,Darkness Ablaze
Trumbeak,Vivid Voltage
Gyarados,Base Set
Togekiss-EX,BREAKpoint
Grumpig,EX Deoxys
Mightyena,EX Power Keepers
Tropius,Cosmic Eclipse
Granbull,Kalos Starter Set
Granbull,HeartGold & SoulSilver
Granbull,EX Unseen Forces
Mienshao,Noble Victories
Granbull,Call of Legends
Morpeko,Rebel Clash
Togetic,Great Encounters
Mow Rotom,Rising Rivals
Gothorita,Emerging Powers
Gothorita,Boundaries Crossed
Mewtwo ☆,EX Holon Phantoms
Gothitelle,Guardians Rising
Blissey,Aquapolis
Trevenant-EX,Primal Clash
Bibarel,Pokémon Rumble
Team Aqua's Walrein,EX Team Magma vs Team Aqua
Heatmor,Burning Shadows
Heatmor,Dark Explorers
Hitmontop,Vivid Voltage
Mantine,Mysterious Treasures
Swadloon,Emerging Powers
Pelipper,EX Deoxys
Hitmontop,EX Unseen Forces
Pelipper δ,POP Series 5
Hitmontop,Legends Awakened
Hitmontop,Unbroken Bonds
Persian,Skyridge
Hippopotas,Ultra Prism
Vanillish,Dark Explorers
Vanillish,Next Destinies
Phanpy,Lost Thunder
Manectric,EX Ruby & Sapphire
Phanpy,Plasma Storm
Manectric,EX Crystal Guardians
Furfrou,XY Trainer Kit (Sylveon)
Swalot,Arceus
Maractus,Black & White
Galarian Mr. Rime,Rebel Clash
Swalot,EX Crystal Guardians
Hitmonchan,Aquapolis
Gallade-EX,Roaring Skies
Gallade E4,Rising Rivals
Hitmonchan,EX Unseen Forces
Azumarill δ,EX Delta Species
Galarian Yamask,Rebel Clash
Ursaring,Call of Legends
Ursaring,Legendary Treasures
Hitmonchan ex,EX Ruby & Sapphire
Hitmonlee,Fossil
Swampert,POP Series 1
Swampert,EX Ruby & Sapphire
Hitmonlee,Legendary Collection
Swalot,Phantom Forces
Quilladin,Kalos Starter Set
Furfrou,XY Trainer Kit (Noivern)
Celebi V,Sword & Shield
Furfrou,Phantom Forces
Suicune ex,EX Team Magma vs Team Aqua
Suicune,HGSS Black Star Promos
Charizard,EX Power Keepers
Pikachu,Majestic Dawn
Sudowoodo,Majestic Dawn
Magneton,Stormfront
Pikachu,McDonald's Collection 2017
Sudowoodo,EX Unseen Forces
Pikachu,POP Series 5
Honchkrow,Mysterious Treasures
Venusaur,Pokémon Rumble
Charizard,Skyridge
Magneton,EX Delta Species
Magneton,Cosmic Eclipse
Floatzel GL,Rising Rivals
Stunfisk,Lost Thunder
Magnezone,Diamond & Pearl
Magnezone,Triumphant
Furfrou,McDonald's Collection 2014
Charizard,Box Toppers (e-Card Series)
Furfrou,Kalos Starter Set
Furfrou,Flashfire
Axew,BW Black Star Promos
Froslass,Arceus
Pidgeot,Secret Wonders
Pidgeot,Southern Islands
Vaporeon,EX Sandstorm
Pidgeot δ,EX Holon Phantoms
Vaporeon δ,EX Delta Species
Chandelure,Guardians Rising
Chandelure,Noble Victories
Venomoth,Phantom Forces
Pignite,McDonald's Collection 2012
Pikachu,BW Black Star Promos
Venomoth,Secret Wonders
Hippowdon,Majestic Dawn
Hippopotas,Primal Clash
Heatmor,Plasma Storm
Bayleef,EX Unseen Forces
Meganium,Expedition Base Set
Meganium,EX Unseen Forces
Meganium,BREAKpoint
Giovanni's Nidoqueen,Gym Challenge
Bayleef,Lost Thunder
Bayleef,HeartGold & SoulSilver
Bulbasaur,SM Black Star Promos
Bayleef,Call of Legends
Marowak,Aquapolis
Octillery,Platinum
Octillery,Unleashed
Unown G,Great Encounters
Medicham,EX Crystal Guardians
Geodude,EX Legend Maker
Gengar & Mimikyu-GX,Team Up
Unown W,Legends Awakened
Nosepass,Rebel Clash
Beautifly,Diamond & Pearl
Beautifly,EX Deoxys
Beautifly,EX Ruby & Sapphire
Team Aqua's Mightyena,EX Team Magma vs Team Aqua
Heatmor,Sword & Shield
Umbreon,Majestic Dawn
Noctowl,Plasma Freeze
Team Aqua's Manectric,EX Team Magma vs Team Aqua
Team Aqua's Lanturn,EX Team Magma vs Team Aqua
Team Aqua's Kyogre,EX Team Magma vs Team Aqua
Giratina,Legends Awakened
Girafarig,Phantom Forces
Noibat,Unified Minds
Meloetta,Legendary Treasures
Meloetta,Boundaries Crossed
Meloetta,BW Black Star Promos
Umbreon,Undaunted
Nosepass,Cosmic Eclipse
Bunnelby,Rebel Clash
Genesect,Legendary Treasures
Omastar,EX Legend Maker
Pachirisu,Call of Legends
Marshtomp,EX Crystal Guardians
Sylveon,Furious Fists
Cacturne,Great Encounters
Herdier,Sun & Moon
Cacturne ex,EX Emerald
Cacturne δ,EX Crystal Guardians
Palkia G,Platinum
Camerupt,EX Crystal Guardians
Camerupt,EX Dragon
Camerupt-EX,Primal Clash
Palossand,Sun & Moon
Herdier,XY
Palpitoad,Dragons Exalted
Marowak δ,EX Delta Species
Marowak,Legends Awakened
Marshtomp,EX Emerald
Garchomp C,Supreme Victors
Heracross,Burning Shadows
Marshtomp,Supreme Victors
Heracross,Cosmic Eclipse
Heracross,EX Hidden Legends
Omastar,Skyridge
Mawile,BREAKpoint
Butterfree,EX FireRed & LeafGreen
Masquerain,Primal Clash
